Trek,Cost_USD,Duration_Days,Max_Altitude_m,Trip_Grade_Ordinal,Accom_Guesthouse,Accom_Lodge,Accom_LuxuryLodge,Accom_Teahouse,Accom_TeahouseLodge,Travel_AprMay_SeptNov,Travel_JanMay_SeptDec,Travel_MarMay_SeptDec,Travel_MarMay_SeptNov,Travel_MarNov
Everest Base Camp Trek,1420.0,0.31654834853045377,0.8860780999313789,-0.3778850654664778,1,0,0,0,0,0,0,1,0,0
Everest Base Camp Short Trek,1295.0,-0.12431716960468736,0.8860780999313789,-0.3778850654664778,1,0,0,0,0,0,0,1,0,0
Everest Base Camp Heli Shuttle Trek,2000.0,-0.5651826877398285,0.8860780999313789,-0.3778850654664778,1,0,0,0,0,0,0,1,0,0
Everest Base Camp Heli Trek,3300.0,-0.785615446807399,0.8860780999313789,-0.3778850654664778,1,0,0,0,0,0,0,1,0,0
Everest Base Camp Trek for Seniors,1800.0,1.198279384800736,0.8860780999313789,-0.3778850654664778,1,0,0,0,0,0,0,1,0,0
Everest Chola Pass Trek,1720.0,0.9778466257331655,0.8860780999313789,1.5017250653602892,1,0,0,0,0,0,0,1,0,0
Gokyo Lake Renjo La Pass Trek,1450.0,0.31654834853045377,0.7049147527840636,-0.3778850654664778,1,0,0,0,0,0,0,1,0,0
Everest High Passes Trek,1950.0,1.6391449029358773,0.8860780999313789,1.5017250653602892,1,0,0,0,0,1,0,0,0,0
Short Everest Trek,1060.0,-1.6673464830776814,-0.7248067976758299,-1.0044217757420668,1,0,0,0,0,0,0,1,0,0
Everest Panorama Trek,1150.0,-1.0060482058749696,-0.7639772511130872,-1.0044217757420668,1,0,0,0,0,0,1,0,0,0
Everest View Trek,1100.0,-1.22648096494254,-0.7639772511130872,-1.0044217757420668,1,0,0,0,0,0,1,0,0,0
Luxury Everest Base Camp Heli Trek,4200.0,-0.785615446807399,0.8860780999313789,-0.3778850654664778,0,0,0,1,0,0,0,1,0,0
Everest Base Camp Trek with Chola and Renjo La Pass,1900.0,1.4187121438683066,0.8860780999313789,1.5017250653602892,1,0,0,0,0,0,0,0,1,0
Annapurna Base Camp Trek,1090.0,-0.12431716960468736,-0.4212357835370854,-0.3778850654664778,1,0,0,0,0,0,0,1,0,0
Annapurna Base Camp Short Trek,1090.0,-0.785615446807399,-0.4212357835370854,-1.0044217757420668,0,0,0,1,0,0,0,1,0,0
Instant Annapurna Base Camp Trek,980.0,-1.22648096494254,-0.4016505568184567,-0.3778850654664778,1,0,0,0,0,0,0,1,0,0
Annapurna Base Camp Heli Trek,1750.0,-1.22648096494254,-0.4212357835370854,-1.0044217757420668,0,0,0,1,0,0,0,1,0,0
Mardi Himal Trek,850.0,-1.22648096494254,-0.4310283968963997,-1.0044217757420668,1,0,0,0,0,0,0,1,0,0
Mardi Himal Trekking,850.0,-1.4469137240101109,-0.4310283968963997,-1.0044217757420668,1,0,0,0,0,0,0,1,0,0
Classic Annapurna Circuit Trek,1350.0,0.757413866665595,0.7597533875962239,-0.3778850654664778,0,0,0,1,0,0,0,0,1,0
Annapurna Circuit Trek,1250.0,-0.12431716960468736,0.7597533875962239,-0.3778850654664778,0,0,0,1,0,0,0,1,0,0
Annapurna Circuit Short Trek,1250.0,-0.5651826877398285,0.7597533875962239,1.5017250653602892,1,0,0,0,0,0,0,0,1,0
Annapurna Luxury Trek,1450.0,-1.22648096494254,-2.573652199914377,-1.0044217757420668,0,0,1,0,0,0,0,1,0,0
Annapurna Panorama Trek,860.0,-1.22648096494254,-1.4004971194685194,-1.6309584860176558,0,0,0,1,0,0,1,0,0,0
Annapurna Tilicho Lake Trek,1450.0,0.5369811075980243,0.7597533875962239,1.5017250653602892,1,0,0,0,0,0,0,0,1,0
Short Annapurna Trek,590.0,-2.1082120012128227,-2.595195949304869,-1.6309584860176558,0,1,0,0,0,0,1,0,0,0
Manaslu Circuit Trek,1450.0,0.09611558946288322,0.4561823734574794,1.5017250653602892,1,0,0,0,0,0,0,0,1,0
Manaslu Circuit Trekking,1380.0,-0.12431716960468736,0.5678181657536628,-0.3778850654664778,0,0,0,1,0,0,0,0,1,0
Tsum Valley with Manaslu Trek,1850.0,1.198279384800736,0.5678181657536628,1.5017250653602892,1,0,0,0,0,0,0,0,1,0
Upper Mustang Trek,2150.0,0.5369811075980243,-0.4212357835370854,-1.0044217757420668,1,0,0,0,0,0,0,0,1,0
Upper Mustang Trek with Yara,2300.0,0.757413866665595,-0.4310283968963997,-1.0044217757420668,0,1,0,0,0,0,0,0,0,1
Upper Mustang Tiji Festival Trek,2150.0,0.757413866665595,-0.4212357835370854,-1.0044217757420668,0,0,0,1,0,0,0,0,1,0
Langtang Valley Trek,750.0,-1.0060482058749696,0.4013437386453191,-1.0044217757420668,0,0,0,1,0,0,0,1,0,0
Langtang Gosaikunda Trek,1180.0,0.31654834853045377,-0.03932386252382616,-1.0044217757420668,1,0,0,0,0,0,0,1,0,0
Tamang Heritage Trek,920.0,-0.12431716960468736,0.4013437386453191,-1.0044217757420668,1,0,0,0,0,0,0,1,0,0
Tamang Heritage Trail,750.0,-1.4469137240101109,-1.990991705035174,-1.6309584860176558,0,0,0,0,1,0,1,0,0,0
Helambu Trek,780.0,-1.22648096494254,-0.9696221316586884,-1.6309584860176558,1,0,0,0,0,0,1,0,0,0
Annapurna Base Camp Trek,1499.0,-0.785615446807399,-0.4995766904116001,0.24865164480911117,1,0,0,0,0,0,1,0,0,0
Everest Base Camp Trek for Youths,1750.0,-0.12431716960468736,0.8860780999313789,0.8751883550847002,1,0,0,0,0,0,1,0,0,0
Everest Base Camp Short Trek,1499.0,-0.12431716960468736,0.8860780999313789,0.8751883550847002,1,0,0,0,0,0,1,0,0,0
Everest Base Camp Trek,1499.0,0.31654834853045377,0.8860780999313789,0.24865164480911117,1,0,0,0,0,0,1,0,0,0
Annapurna Circuit Trek,1499.0,0.5369811075980243,0.7597533875962239,0.8751883550847002,1,0,0,0,0,0,1,0,0,0
Everest Base Camp Luxury Lodge Trek,1499.0,0.09611558946288322,0.8860780999313789,0.8751883550847002,1,0,0,0,0,0,1,0,0,0
Everest Base Camp Trek via Gokyo Lakes and Cho La Pass,1499.0,0.757413866665595,0.8860780999313789,0.8751883550847002,1,0,0,0,0,0,1,0,0,0
Upper Mustang Trek,1499.0,0.5369811075980243,-0.7541846377537729,0.24865164480911117,1,0,0,0,0,0,1,0,0,0
Everest Advanced Base Camp Trek from Tibet,1499.0,0.757413866665595,1.6645908619968688,0.24865164480911117,1,0,0,0,0,0,1,0,0,0
Gokyo Lakes and Gokyo Ri Trek,1499.0,-0.12431716960468736,0.7019769687762694,0.24865164480911117,1,0,0,0,0,0,1,0,0,0
Mardi Himal Trek,1499.0,-1.0060482058749696,-1.077340878611146,-0.3778850654664778,1,0,0,0,0,0,1,0,0,0
Manaslu Circuit Trek,1499.0,0.757413866665595,0.5090624855977769,0.8751883550847002,1,0,0,0,0,0,1,0,0,0
Langtang Valley Trek,1499.0,-0.785615446807399,0.3523806718487474,0.24865164480911117,1,0,0,0,0,0,1,0,0,0
Annapurna Sanctuary Trek,1499.0,-0.12431716960468736,-0.4995766904116001,0.24865164480911117,1,0,0,0,0,0,1,0,0,0
Rara Lake Trek,1499.0,0.09611558946288322,-1.5522826265378915,-0.3778850654664778,1,0,0,0,0,0,1,0,0,0
Everest High Passes Trek,1499.0,1.198279384800736,0.8870573612673103,0.8751883550847002,1,0,0,0,0,0,1,0,0,0
Kanchenjunga Circuit Trek,1499.0,2.300443180138589,0.49241504288694243,0.8751883550847002,1,0,0,0,0,0,1,0,0,0
Everest View Trek,1499.0,-0.5651826877398285,-0.7541846377537729,-1.0044217757420668,1,0,0,0,0,0,1,0,0,0
Tsum Valley Trek,1499.0,0.9778466257331655,1.3316420077801814,0.8751883550847002,1,0,0,0,0,0,1,0,0,0
The Royal Trek,1499.0,-1.22648096494254,-2.8498038966470416,-0.3778850654664778,1,0,0,0,0,0,1,0,0,0
Makalu Base Camp Trek,1499.0,1.6391449029358773,0.225076698177661,2.1282617756358784,1,0,0,0,0,0,1,0,0,0
"Langtang, Gosainkunda and Helambu Trek",1499.0,0.5369811075980243,0.3523806718487474,-0.3778850654664778,1,0,0,0,0,0,1,0,0,0
Nar Phu Valley Trek,1499.0,0.9778466257331655,0.7597533875962239,0.8751883550847002,1,0,0,0,0,0,1,0,0,0
Annapurna Circle Trek,1499.0,-0.12431716960468736,0.7597533875962239,0.8751883550847002,1,0,0,0,0,0,1,0,0,0
Everest Kangshung Face Trek,1499.0,1.4187121438683066,0.6657442993468062,2.1282617756358784,1,0,0,0,0,0,1,0,0,0
Tsum Valley and Manaslu Trek,1499.0,2.74130869827373,-0.1764204495542269,0.8751883550847002,1,0,0,0,0,0,1,0,0,0
Khopra Ridge Community Trek,1499.0,-0.3447499286722579,-0.13724999611696956,0.24865164480911117,1,0,0,0,0,0,1,0,0,0
Nepal Experience Tour,1499.0,-0.5651826877398285,-1.4004971194685194,-2.257495196293245,1,0,0,0,0,0,1,0,0,0
Annapurna Circuit Trek with Tilicho Lake and Poon Hill,1499.0,1.198279384800736,0.7597533875962239,0.8751883550847002,1,0,0,0,0,0,1,0,0,0
Annapurna With Tilicho Lake Trek,1499.0,0.5369811075980243,0.7597533875962239,0.8751883550847002,1,0,0,0,0,0,1,0,0,0
Langtang Valley Trek with Ganja la Pass,1499.0,-0.12431716960468736,0.47185055483238236,2.1282617756358784,1,0,0,0,0,0,1,0,0,0
Tamang Heritage Trek,1499.0,-0.12431716960468736,-0.7541846377537729,-0.3778850654664778,1,0,0,0,0,0,1,0,0,0
Manaslu and Annapurna Trek with Tilicho Lake,1499.0,2.300443180138589,0.7597533875962239,0.8751883550847002,1,0,0,0,0,0,1,0,0,0
Nepal Trekking and Everest Himalaya Heli Tour,1499.0,-1.6673464830776814,0.8860780999313789,-0.3778850654664778,1,0,0,0,0,0,1,0,0,0
Nepal Hiking and Culture Tour,1499.0,-1.4469137240101109,-3.0260709371146994,-0.3778850654664778,1,0,0,0,0,0,1,0,0,0
Annapurna Sunrise and Everest View Trek,1499.0,0.5369811075980243,-0.7541846377537729,-0.3778850654664778,1,0,0,0,0,0,1,0,0,0
Tenzing Hillary Everest Marathon,1499.0,1.198279384800736,0.8860780999313789,2.1282617756358784,1,0,0,0,0,0,1,0,0,0
Everest Base Camp Trek,1450.0,0.31654834853045377,0.8860780999313789,0.24865164480911117,1,0,0,0,0,0,1,0,0,0
Everest Kalapathar Trekking,1390.0,0.09611558946288322,0.8860780999313789,0.24865164480911117,1,0,0,0,0,0,1,0,0,0
Everest Panorama Trek,1040.0,-1.0060482058749696,-0.7639772511130872,-1.0044217757420668,1,0,0,0,0,0,1,0,0,0
Everest Base Camp Trek via Gokyo Lake,1530.0,0.9778466257331655,0.8860780999313789,0.24865164480911117,1,0,0,0,0,0,1,0,0,0
Gokyo Lake Trek,1190.0,-0.3447499286722579,0.7019769687762694,-0.3778850654664778,1,0,0,0,0,0,1,0,0,0
Everest Base Camp Heli Trek,3600.0,-1.22648096494254,0.8860780999313789,-0.3778850654664778,1,0,0,0,0,0,1,0,0,0
Annapurna Circuit Trek,1100.0,0.9778466257331655,0.7597533875962239,0.24865164480911117,1,0,0,0,0,0,1,0,0,0
Annapurna Base Camp Trek,1090.0,0.31654834853045377,-0.4995766904116001,-0.3778850654664778,1,0,0,0,0,0,1,0,0,0
Ghorepani Poon Hill Trek,450.0,-1.0060482058749696,-1.4004971194685194,-1.6309584860176558,1,0,0,0,0,0,1,0,0,0
Upper Mustang Trek,2100.0,0.5369811075980243,-0.4310283968963997,0.24865164480911117,1,0,0,0,0,0,1,0,0,0
Mardi Himal Trek,590.0,-1.22648096494254,-0.13724999611696956,-1.0044217757420668,1,0,0,0,0,0,1,0,0,0
Langtang Valley Trekking,690.0,-0.785615446807399,0.13008834859231191,-0.3778850654664778,1,0,0,0,0,0,1,0,0,0
Manaslu Circuit Trek,1190.0,0.5369811075980243,0.5678181657536628,0.24865164480911117,1,0,0,0,0,0,1,0,0,0
Annapurna Base Camp Trek,1090.0,-0.12431716960468736,-0.4212357835370854,-0.3778850654664778,1,0,0,0,0,0,0,1,0,0
Annapurna Base Camp Short Trek,1090.0,-0.785615446807399,-0.4212357835370854,-1.0044217757420668,0,0,0,1,0,0,0,1,0,0
Instant Annapurna Base Camp Trek,980.0,-1.22648096494254,-0.4016505568184567,-0.3778850654664778,1,0,0,0,0,0,0,1,0,0
Annapurna Base Camp Heli Trek,1750.0,-1.22648096494254,-0.4212357835370854,-1.0044217757420668,0,0,0,1,0,0,0,1,0,0
Mardi Himal Trek,850.0,-1.22648096494254,-0.4310283968963997,-1.0044217757420668,1,0,0,0,0,0,0,1,0,0
Mardi Himal Trekking,850.0,-1.4469137240101109,-0.4310283968963997,-1.0044217757420668,1,0,0,0,0,0,0,1,0,0
Classic Annapurna Circuit Trek,1350.0,0.757413866665595,0.7597533875962239,-0.3778850654664778,0,0,0,1,0,0,0,0,1,0
Annapurna Circuit Trek,1250.0,-0.12431716960468736,0.7597533875962239,-0.3778850654664778,0,0,0,1,0,0,0,1,0,0
Annapurna Circuit Short Trek,1250.0,-0.5651826877398285,0.7597533875962239,1.5017250653602892,1,0,0,0,0,0,0,0,1,0
Annapurna Luxury Trek,1450.0,-1.22648096494254,-2.573652199914377,-1.0044217757420668,0,0,1,0,0,0,0,1,0,0
Annapurna Panorama Trek,860.0,-1.22648096494254,-1.4004971194685194,-1.6309584860176558,0,0,0,1,0,0,1,0,0,0
Annapurna Tilicho Lake Trek,1450.0,0.5369811075980243,0.7597533875962239,1.5017250653602892,1,0,0,0,0,0,0,0,1,0
Short Annapurna Trek,590.0,-2.1082120012128227,-2.595195949304869,-1.6309584860176558,0,1,0,0,0,0,1,0,0,0
Manaslu Circuit Trek,1450.0,0.09611558946288322,0.4561823734574794,1.5017250653602892,1,0,0,0,0,0,0,0,1,0
Manaslu Circuit Trekking,1380.0,-0.12431716960468736,0.5678181657536628,-0.3778850654664778,0,0,0,1,0,0,0,0,1,0
Tsum Valley with Manaslu Trek,1850.0,1.198279384800736,0.5678181657536628,1.5017250653602892,1,0,0,0,0,0,0,0,1,0
