Trek,Cost_USD,Duration_Days,Max_Altitude_m,Trip_Grade_Ordinal,Accom_Guesthouse,Accom_Lodge,Accom_LuxuryLodge,Accom_Teahouse,Accom_TeahouseLodge,Travel_AprMay_SeptNov,Travel_JanMay_SeptDec,Travel_MarMay_SeptDec,Travel_MarMay_SeptNov,Travel_MarNov,Anomaly,Anomaly_Score,Hidden_Gem_Score
Tsum Valley and Manaslu Trek,1499.0,27,4460,6,1,0,0,0,0,0,1,0,0,0,-1,-0.03254054023362363,17.851901267511675
Tsum Valley and Manaslu Trek,1499.0,27,4460,6,1,0,0,0,0,0,1,0,0,0,-1,-0.03254054023362363,17.851901267511675
Tsum Valley and Manaslu Trek,1499.0,27,4460,6,1,0,0,0,0,0,1,0,0,0,-1,-0.03254054023362363,17.851901267511675
Tsum Valley and Manaslu Trek,1499.0,27,4460,6,1,0,0,0,0,0,1,0,0,0,-1,-0.03254054023362363,17.851901267511675
Tsum Valley and Manaslu Trek,1499.0,27,4460,6,1,0,0,0,0,0,1,0,0,0,-1,-0.03254054023362363,17.851901267511675
Short Annapurna Trek,590.0,5,1990,2,0,1,0,0,0,0,1,0,0,0,-1,-0.05412769626037628,6.745762711864407
Short Annapurna Trek,590.0,5,1990,2,0,1,0,0,0,0,1,0,0,0,-1,-0.05412769626037628,6.745762711864407
Short Annapurna Trek,590.0,5,1990,2,0,1,0,0,0,0,1,0,0,0,-1,-0.05412769626037628,6.745762711864407
Short Annapurna Trek,590.0,5,1990,2,0,1,0,0,0,0,1,0,0,0,-1,-0.05412769626037628,6.745762711864407
Short Annapurna Trek,590.0,5,1990,2,0,1,0,0,0,0,1,0,0,0,-1,-0.05412769626037628,6.745762711864407
Nepal Hiking and Culture Tour,1499.0,8,1550,4,1,0,0,0,0,0,1,0,0,0,-1,-0.0018586725464937448,4.136090727151434
Nepal Hiking and Culture Tour,1499.0,8,1550,4,1,0,0,0,0,0,1,0,0,0,-1,-0.0018586725464937448,4.136090727151434
Nepal Hiking and Culture Tour,1499.0,8,1550,4,1,0,0,0,0,0,1,0,0,0,-1,-0.0018586725464937448,4.136090727151434
Nepal Hiking and Culture Tour,1499.0,8,1550,4,1,0,0,0,0,0,1,0,0,0,-1,-0.0018586725464937448,4.136090727151434
Nepal Hiking and Culture Tour,1499.0,8,1550,4,1,0,0,0,0,0,1,0,0,0,-1,-0.0018586725464937448,4.136090727151434
Nepal Experience Tour,1499.0,12,3210,1,1,0,0,0,0,0,1,0,0,0,-1,-0.0019125844656802116,2.141427618412275
Nepal Experience Tour,1499.0,12,3210,1,1,0,0,0,0,0,1,0,0,0,-1,-0.0019125844656802116,2.141427618412275
Nepal Experience Tour,1499.0,12,3210,1,1,0,0,0,0,0,1,0,0,0,-1,-0.0019125844656802116,2.141427618412275
Nepal Experience Tour,1499.0,12,3210,1,1,0,0,0,0,0,1,0,0,0,-1,-0.0019125844656802116,2.141427618412275
Nepal Experience Tour,1499.0,12,3210,1,1,0,0,0,0,0,1,0,0,0,-1,-0.0019125844656802116,2.141427618412275
